Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
đột_khởi,1,2,7,11,1
nhéo,1,1,4,5,1
truy_phong,1,2,9,9,1
bi_da,1,2,4,4,1
nhai_nhải,1,2,8,9,1
xinh_xẻo,1,2,7,8,1
nội_tộc,1,2,6,10,1
làm_lẽ,1,2,5,7,1
thê_thiếp,1,2,8,11,1
tảo_tần,1,2,6,9,1
có_của,1,2,5,7,1
xỏ_mũi,1,2,5,7,1
yêu-hôn,1,1,7,9,1
nhân-gia,1,1,8,9,1
lơ-tơ,1,1,5,7,1
rù_rì,1,2,4,6,1
đáo.đây,1,1,7,9,1
hụ,1,1,2,3,1
cỗ_bàn,1,2,5,8,1
trọ_trẹ,1,2,6,8,1
chỉ_tội,1,2,6,9,1
thất_hứa,1,2,7,11,1
nhân_vô_thập_toàn,1,4,14,19,1
lăn_lưng,1,2,7,9,1
tốt_số,1,2,5,9,1
msn.com.uk,1,1,10,10,1
chằn_chặn,1,2,8,12,1
tội_tình,1,2,7,10,1
nín_thinh,1,2,8,9,1
lẹo,1,1,3,4,1
không_nói_không_rằng,1,4,17,22,1
trở_qua_trở_lại,1,4,12,17,1
puzzle,1,1,6,6,1
khoẻ_như_vâm,1,3,10,13,1
đắc_đạo,1,2,6,9,1
quắc,1,1,4,6,1
rẹt,1,1,3,4,1
bí_truyền,1,2,8,11,1
phàm,1,1,4,5,1
lạt_ma,1,2,5,6,1
chuyên_quyền,1,2,11,14,1
lai_căng,1,2,7,8,1
tán_tụng,1,2,7,9,1
xn,1,1,2,2,1
đèo_bòng,1,2,7,9,1
kiếm_chuyện,1,2,10,14,1
tính_hướng,1,2,9,13,1
bi-hài,1,1,6,7,1
giữ_kẽ,1,2,5,8,1
câu_nệ,1,2,5,8,1
láu,1,1,3,4,1
rần,1,1,3,5,1
đu_đưa,1,2,5,6,1
đắng_ngắt,1,2,8,12,1
các_thống,1,2,8,11,1
lục_vấn,1,2,6,9,1
gìb,1,1,3,4,1
khó_đăm_đăm,1,3,9,12,1
bội.c.,1,1,6,8,1
mới.d.,1,1,6,8,1
chồng.c.,1,1,8,10,1
ngoại.d.,1,1,8,9,1
thận.b.,1,1,7,9,1
việc.c.,1,1,7,9,1
không.d.,1,1,8,9,1
định.b.,1,1,7,8,1
không.c.,1,1,8,9,1
cầu.d.,1,1,6,8,1
thích.b.,1,1,8,9,1
ước.c.,1,1,6,9,1
đó.d.,1,1,5,6,1
đình.c.,1,1,7,8,1
bạn.d.,1,1,6,7,1
vô_tâm_vô_tính,1,4,11,15,1
lê_từ,1,2,4,7,1
cần_kíp,1,2,6,9,1
trái_tính,1,2,8,10,1
vô_ơn,1,2,4,6,1
chăm_nom,1,2,7,8,1
thật_tâm,1,2,7,10,1
xỉ_vả,1,2,4,6,1
ba_quân,1,2,6,7,1
businessman,1,1,11,11,1
xiêu,1,1,4,5,1
tráng_niên,1,2,9,11,1
dẩu,1,1,3,5,1
bứng,1,1,4,6,1
nhắm_nhe,1,2,7,9,1
u_ơ,1,2,2,3,1
giao_đãi,1,2,7,8,1
mất_dạy,1,2,6,9,1
lầm_bầm,1,2,6,10,1
thủ_thỉ,1,2,6,8,1
anh_an,1,2,5,5,1
hợp_ý,1,2,4,7,1
nồng_đượm,1,2,8,13,1
lặng_thinh,1,2,9,11,1
nhữnng,1,1,6,8,1
huề,1,1,3,5,1
nhong_nhóng,1,2,10,11,1
bất_nhã,1,2,6,9,1
tỏ_bày,1,2,5,7,1
tứ_phía,1,2,6,9,1
nói_ra_nói_vào,1,4,11,14,1
vập,1,1,3,5,1
nổi_khùng,1,2,8,11,1
suớng,1,1,5,7,1
tuyệt_đích,1,2,9,12,1
nọ_kia,1,2,5,6,1
té_tát,1,2,5,7,1
bốp_chát,1,2,7,10,1
sáng_bảnh_mắt,1,3,11,15,1
nheo_nhéo,1,2,8,9,1
pgiếu,1,1,5,7,1
sở.trong,1,1,8,10,1
hoá_phẩm,1,2,7,10,1
đượcniêm,1,1,8,12,1
động_dao_động,1,3,11,15,1
tới.đại,1,1,7,10,1
hú_hồn,1,2,5,8,1
cách_cổ,1,2,6,9,1
dân_doanh,1,2,8,9,1
nhiệm.với,1,1,9,13,1
quả_cân,1,2,6,8,1
dắt_dây,1,2,6,9,1
bán_tống,1,2,7,10,1
thành_tâm_điểm,1,3,12,16,1
khoán.các,1,1,9,11,1
repo,1,1,4,4,1
chi_bằng,1,2,7,9,1
dôi_dư,1,2,5,7,1
taya_việt_namtham_gia,1,4,18,20,1
responsibility,1,1,14,14,1
company,1,1,7,7,1
khoán.nhiều,1,1,11,14,1
sự.trong,1,1,8,10,1
đồng.trái,1,1,9,12,1
giao_thầu,1,2,8,10,1
ngại.giám,1,1,9,11,1
điểm.tuy,1,1,8,10,1
chính_thức_hoá,1,3,12,16,1
vị.trong,1,1,8,9,1
đồng.vì,1,1,7,10,1
trước.dẫn,1,1,9,14,1
mua_gom,1,2,6,6,1
tuần_phiên,1,2,9,12,1
dĩ_độc_trị_độc,1,4,11,17,1
phiên.có,1,1,8,10,1
nhau.ý,1,1,6,7,1
chứng.ông,1,1,9,12,1
kbs,1,1,3,3,1
huýt,1,1,4,5,1
rằngsự,1,1,6,10,1
hànhtại,1,1,7,9,1
tức.với,1,1,7,11,1
thể_hiện_sinh_động,1,4,15,21,1
steroid,1,1,7,7,1
thành_lệ,1,2,7,10,1
thôi_nôi,1,2,7,9,1
tại_gia_cầm,1,3,9,12,1
bắc_triều_tiên,1,3,12,17,1
thời.bệnh,1,1,9,13,1
phư­ơng,1,1,7,9,1
gà_ri,1,2,4,5,1
tân_như,1,2,6,8,1
điệu_này,1,2,7,10,1
biến_thái,1,2,8,11,1
hành_tung,1,2,8,9,1
lay_lắt,1,2,6,8,1
nghiễm,1,1,6,8,1
y-bộ,1,1,4,6,1
gànhỏ,1,1,5,7,1
an_giang,1,2,7,7,1
hải_thanh_báo_nông_nghiệp,1,5,21,26,1
phóng_sự_phận,1,3,11,16,1
tuổi_trẻ_chủ_nhật,1,4,14,20,1
vius,1,1,4,4,1
mồm_long,1,2,7,9,1
vac,1,1,3,3,1
cin,1,1,3,3,1
thẩm_lậu,1,2,7,11,1
nănglực,1,1,7,10,1
vac-cin,1,1,7,7,1
kí_kết,1,2,5,8,1
son_sắt,1,2,6,8,1
hắt_xì_hơi,1,3,8,12,1
long_an,1,2,6,6,1
prăh,1,1,4,5,1
nhgiã,1,1,5,6,1
dẩn,1,1,3,5,1
lâm_đồng,1,2,7,10,1
iôn,1,1,3,4,1
tồn_dư,1,2,5,8,1
cửa_lá_sách,1,3,9,13,1
tầm_thước,1,2,8,13,1
hạt_trai,1,2,7,8,1
ráp_nối,1,2,6,9,1
bu_lông,1,2,6,7,1
trà_sen,1,2,6,7,1
chả_quế,1,2,6,9,1
măng_non,1,2,7,8,1
an_toàn_vệ,1,3,8,11,1
cửa_cuốn,1,2,7,11,1
bù_loong,1,2,7,8,1
hourdis,1,1,7,7,1
exwood,1,1,6,6,1
cemboard,1,1,8,8,1
ceramic,1,1,7,7,1
giảm_chấn,1,2,8,11,1
cadmium,1,1,7,7,1
nike,1,1,4,4,1
quạt_bàn,1,2,7,9,1
quạt_treo_tường,1,3,13,17,1
hình_xuyến,1,2,9,12,1
handheld,1,1,8,8,1
cleanser,1,1,8,8,1
thẩm_mỹ_arosa,1,3,11,14,1
cellence,1,1,8,8,1
timed,1,1,5,5,1
dry,1,1,3,3,1
cycles,1,1,6,6,1
ancaloit,1,1,8,8,1
cocamile,1,1,8,8,1
betaine,1,1,7,7,1
đầu_tư_chiều_sâu,1,4,13,19,1
bằng_ren,1,2,7,9,1
bệ_vệ,1,2,4,8,1
theatre,1,1,7,7,1
boocdo,1,1,6,6,1
vi_nấm,1,2,5,7,1
vải_giả_da,1,3,8,10,1
ngà_voi,1,2,6,7,1
bón,1,1,3,4,1
nhành,1,1,5,6,1
biệt.không,1,1,10,13,1
móp,1,1,3,4,1
nitrat,1,1,6,6,1
polypropyiene,1,1,13,13,1
gạn_lọc,1,2,6,8,1
đồ_sơn,1,2,5,8,1
cốt_liệu,1,2,7,11,1
hom,1,1,3,3,1
nhãn_khoa,1,2,8,9,1
tai_mắt,1,2,6,8,1
lui_cui,1,2,6,6,1
rong_rêu,1,2,7,8,1
cement,1,1,6,6,1
gạch_ốp_lát,1,3,9,13,1
chấn_lưu,1,2,7,10,1
hồ_quang,1,2,7,9,1
điện_tích,1,2,8,11,1
đồngnước,1,1,8,13,1
skincare,1,1,8,8,1
brume,1,1,5,5,1
apaisante,1,1,9,9,1
d-program,1,1,9,9,1
đồngsweet,1,1,9,11,1
đồngmỹ,1,1,6,9,1
đồngví,1,1,6,9,1
đồnggương,1,1,9,13,1
vải_bò,1,2,5,7,1
freshener,1,1,9,9,1
clean,1,1,5,5,1
qua_lọc,1,2,6,7,1
lose,1,1,4,4,1
guy,1,1,3,3,1
zirconia,1,1,8,8,1
néon,1,1,4,5,1
năngcó,1,1,6,8,1
đượcthiết,1,1,9,14,1
hầmcó,1,1,5,8,1
thít,1,1,4,5,1
nhiệt_luyện,1,2,10,14,1
xú,1,1,2,3,1
páp,1,1,3,4,1
mmđộ,1,1,4,6,1
mmkhoảng,1,1,8,9,1
dịchdung,1,1,8,9,1
mmtỷ,1,1,4,5,1
kw,1,1,2,2,1
phútmô,1,1,6,8,1
phúthệ_thống,1,2,11,16,1
điệnhệ_thống,1,2,11,17,1
dầudung,1,1,7,9,1
dầu_máy,1,2,6,9,1
lítdung,1,1,7,8,1
lítbộ,1,1,5,8,1
hoà_khí,1,2,6,8,1
trònloại,1,1,8,10,1
cươngkích,1,1,9,12,1
lựcphanh,1,1,8,10,1
thườnggiảm,1,1,10,14,1
xogiảm,1,1,6,7,1
thaobánh,1,1,8,9,1
hạp,1,1,3,4,1
hình_dáng_viên,1,3,12,15,1
lục_giác,1,2,7,9,1
saphia,1,1,6,6,1
trau,1,1,4,4,1
truốt,1,1,5,7,1
khuyến_mãi_viên,1,3,13,17,1
khom,1,1,4,4,1
độctrong,1,1,8,10,1
bót,1,1,3,4,1
mi-ca,1,1,5,5,1
bàn_cầu,1,2,6,9,1
cataloge,1,1,8,8,1
xi_rô,1,2,4,5,1
nồi_niêu,1,2,7,10,1
roăng,1,1,5,6,1
xú-páp,1,1,6,8,1
sô-pha,1,1,6,7,1
melamine,1,1,8,8,1
sa_sâm,1,2,5,6,1
đương_qui,1,2,8,10,1
nữa.loại,1,1,8,11,1
ethyl,1,1,5,5,1
cyanoacrylate,1,1,13,13,1
linh_dược,1,2,8,11,1
mắt_bồ_câu,1,3,8,13,1
tomatine,1,1,8,8,1
lycopersicin,1,1,12,12,1
nhu_động,1,2,7,9,1
bao_gói,1,2,6,7,1
cót_két,1,2,6,8,1
măng_cụt,1,2,7,9,1
extrait,1,1,7,7,1
chemically,1,1,10,10,1
treated,1,1,7,7,1
replenishment,1,1,13,13,1
damaged,1,1,7,7,1
sunscreen,1,1,9,9,1
shine,1,1,5,5,1
tuy_an,1,2,5,5,1
sôn,1,1,3,4,1
mẫu_tự,1,2,5,9,1
bợn,1,1,3,5,1
chạy.không,1,1,10,12,1
aldehyde,1,1,8,8,1
surfactant,1,1,10,10,1
corticoid,1,1,9,9,1
hydroquinone,1,1,12,12,1
úng,1,1,3,4,1
alphalinoleic,1,1,13,13,1
mớithành,1,1,8,11,1
etylic,1,1,6,6,1
thai_sản,1,2,7,8,1
nồng_nã,1,2,6,9,1
về_son,1,2,5,7,1
tòng,1,1,4,5,1
hà_cớ,1,2,4,7,1
ấpmắt,1,1,5,9,1
ấp.má,1,1,5,8,1
dương.môi,1,1,9,12,1
trà_dầu,1,2,6,9,1
thuậtchuẩn,1,1,10,14,1
đó.một,1,1,6,9,1
thuậtthông,1,1,10,13,1
để_bụng,1,2,6,9,1
mát.má,1,1,6,8,1
chế_son,1,2,6,8,1
thóp,1,1,4,5,1
xì-tin,1,1,6,7,1
đường_ren,1,2,8,11,1
binikin,1,1,7,7,1
máng_ren,1,2,7,8,1
doãng,1,1,5,6,1
vải_ren,1,2,6,7,1
acétone,1,1,7,8,1
thườngmặt,1,1,9,14,1
agar-agar,1,1,9,9,1
khômặt,1,1,6,9,1
parslay,1,1,7,7,1
oreal,1,1,5,5,1
lê_',1,2,3,4,1
ộ_ệ,1,2,2,6,1
ngoại_cỡ,1,2,7,10,1
hội_nguyên,1,2,9,12,1
muốixả,1,1,6,9,1
nào.trà,1,1,7,9,1
tái_mét,1,2,6,8,1
nhuận.nguyên,1,1,12,15,1
biocompatible,1,1,13,13,1
substance,1,1,9,9,1
co_rúm,1,2,5,6,1
bergamot,1,1,8,8,1
lily,1,1,4,4,1
coal,1,1,4,4,1
tar,1,1,3,3,1
da.thực,1,1,7,9,1
trứng.những,1,1,11,15,1
snack,1,1,5,5,1
machine,1,1,7,7,1
siêu_dẫn,1,2,7,10,1
rực.mắt,1,1,7,11,1
thay_thế_nào,1,3,10,13,1
nhất.việc,1,1,9,13,1
hại.trên,1,1,8,10,1
hơn.tự,1,1,6,9,1
mìnhthực,1,1,8,11,1
lycopene,1,1,8,8,1
dính_son,1,2,7,8,1
nhân_điện,1,2,8,11,1
toxin,1,1,5,5,1
trà_loãng,1,2,8,10,1
nhẽo,1,1,4,5,1
đầu_thai,1,2,7,9,1
cức,1,1,3,5,1
caffein,1,1,7,7,1
trênchính,1,1,9,11,1
gically,1,1,7,7,1
tested,1,1,6,6,1
alpha-hydroxy,1,1,13,13,1
allergenic,1,1,10,10,1
balanced,1,1,8,8,1
vitamina,1,1,8,8,1
rays,1,1,4,4,1
soluble,1,1,7,7,1
xoa_son,1,2,6,6,1
oil-free.,1,1,9,9,1
bromelain,1,1,9,9,1
whitening,1,1,9,9,1
truy_kích,1,2,8,9,1
tonique,1,1,7,7,1
găt,1,1,3,4,1
gion,1,1,4,4,1
đưt,1,1,3,4,1
vanh,1,1,4,4,1
săt,1,1,3,4,1
tho,1,1,3,3,1
nac,1,1,3,3,1
thẳng_cánh,1,2,9,12,1
tóc_mai,1,2,6,7,1
quáng_gà,1,2,7,9,1
mấp_mô,1,2,5,8,1
bơi_sải,1,2,6,8,1
warm,1,1,4,4,1
mình_hạc_xương_mai,1,4,15,19,1
êi,1,1,2,3,1
lên.lưu,1,1,7,9,1
lên.để,1,1,6,9,1
rụi,1,1,3,4,1
đứt_gãy,1,2,6,9,1
mình.ngoài,1,1,10,12,1
chiều.loại,1,1,10,13,1
chêt,1,1,4,5,1
trôn,1,1,4,5,1
ăn.đừng,1,1,7,10,1
kiêngcam,1,1,8,9,1
thể.các,1,1,7,10,1
tóc.ngoài,1,1,9,11,1
đồng_tông,1,2,8,11,1
nhoè_nhoẹt,1,2,9,11,1
lưn,1,1,3,4,1
bảo_quản_son,1,3,10,12,1
bỏ_qua_son,1,3,8,9,1
tránh_son,1,2,8,9,1
vàng_tây,1,2,7,9,1
vấn_vít,1,2,6,9,1
temps,1,1,5,5,1
háo_nước,1,2,7,11,1
dete,1,1,4,4,1
tayda,1,1,5,5,1
bươc,1,1,4,6,1
luy,1,1,3,3,1
suôt,1,1,4,5,1
miêng,1,1,5,6,1
vêt,1,1,3,4,1
xà-bông,1,1,7,9,1
aceton,1,1,6,6,1
mang-rô,1,1,7,8,1
pentylene,1,1,9,9,1
peg,1,1,3,3,1
hydrogenated,1,1,12,12,1
benzoic,1,1,7,7,1
capryloyl,1,1,9,9,1
tetrasodium,1,1,11,11,1
edta,1,1,4,4,1
calcium,1,1,7,7,1
pantetheine,1,1,11,11,1
polyquaternium,1,1,14,14,1
dypropylenne,1,1,12,12,1
hydroxide,1,1,9,9,1
zinc,1,1,4,4,1
benzophenone,1,1,12,12,1
melamin,1,1,7,7,1
nước_rửa_bát,1,3,10,16,1
lipgloss,1,1,8,8,1
vun,1,1,3,3,1
thuốc_muối,1,2,9,13,1
nhuệ,1,1,4,6,1
xíu_son,1,2,6,7,1
mưng,1,1,4,5,1
press,1,1,5,5,1
pencil,1,1,6,6,1
brow,1,1,4,4,1
high,1,1,4,4,1
đánh_gần,1,2,7,10,1
chấm_son,1,2,7,9,1
chân-gót,1,1,8,10,1
hồng.đổ,1,1,7,11,1
bông.dùng,1,1,9,11,1
sáng.kem,1,1,8,9,1
da.dùng,1,1,7,8,1
mịn.gắn,1,1,7,10,1
diện.chân,1,1,9,12,1
dáng.gắn,1,1,8,11,1
nhón,1,1,4,5,1
ngồia,1,1,5,7,1
lê_hoặc,1,2,6,9,1
một_ít_son,1,3,8,11,1
i-ốt,1,1,4,6,1
kinh_lạc,1,2,7,8,1
thiện_trung,1,2,10,12,1
gường,1,1,5,8,1
thẳng_góc,1,2,8,11,1
lại_son,1,2,6,7,1
rau_màu,1,2,6,7,1
cà-rốt.,1,1,7,10,1
ráp.giải,1,1,8,10,1
đỏmột,1,1,5,8,1
radium,1,1,6,6,1
miligrams,1,1,9,9,1
răng_cửa,1,2,7,10,1
mặt.vẽ,1,1,6,9,1
dướichỉ,1,1,7,11,1
bà_trẻ,1,2,5,7,1
đỏ.chẳng,1,1,8,11,1
mụt,1,1,3,4,1
ruối,1,1,4,6,1
ýkhông,1,1,6,8,1
da.để,1,1,5,7,1
móng.thói,1,1,9,11,1
làm_già,1,2,6,8,1
homocysteine,1,1,12,12,1
anthocyanins,1,1,12,12,1
khẻo,1,1,4,5,1
hightlight,1,1,10,10,1
color-enhancing,1,1,15,15,1
ké_đầu_ngựa,1,3,9,14,1
bèo_tấm,1,2,6,9,1
nước_gội_đầu,1,3,10,17,1
khác.mặt,1,1,8,11,1
nhờnchuẩn,1,1,9,13,1
gốichuẩn,1,1,8,12,1
ong.xoa,1,1,7,7,1
dầudầu,1,1,6,10,1
mèo.trước,1,1,9,13,1
dabuổi,1,1,6,8,1
mắthằng,1,1,7,11,1
dầu.những,1,1,9,13,1
a_dua,1,2,4,4,1
khôđể,1,1,5,8,1
đế_son,1,2,5,7,1
làm_son,1,2,6,7,1
mêb,1,1,3,4,1
hútb,1,1,4,5,1
múab,1,1,4,5,1
chocolateb,1,1,10,10,1
adore,1,1,5,5,1
woman,1,1,5,5,1
yoghurt,1,1,7,7,1
dạng_son,1,2,7,8,1
mạnhvân,1,1,7,9,1
nồi_hơi,1,2,6,9,1
kakibu,1,1,6,6,1
lờ_tịt,1,2,5,8,1
các_son,1,2,6,7,1
mặt.bước,1,1,8,13,1
nét.bước,1,1,8,12,1
tạo_tác_động,1,3,10,14,1
pore,1,1,4,4,1
minimizing,1,1,10,10,1
bạnh,1,1,4,5,1
ăn_tạp,1,2,5,7,1
rồi.có,1,1,6,9,1
nhân_trần,1,2,8,11,1
dâu_tằm,1,2,6,9,1
bẫm,1,1,3,5,1
dẫn_chất,1,2,7,11,1
estradiol,1,1,9,9,1
lem_nhem,1,2,7,7,1
liner,1,1,5,5,1
mêthionin,1,1,9,10,1
kêratin,1,1,7,8,1
cúc_trắng,1,2,8,11,1
dùgn,1,1,4,5,1
mạnhcân,1,1,7,9,1
nay.không,1,1,9,10,1
rau.ăn,1,1,6,7,1
nhàng.không,1,1,11,13,1
định.không,1,1,10,12,1
bằng.nếu,1,1,8,12,1
mát-xa.,1,1,7,8,1
cellulose,1,1,9,9,1
nhẹ_son,1,2,6,7,1
correcteur,1,1,10,10,1
nằng_nặng,1,2,8,12,1
cảm_giác_kiến,1,3,11,15,1
xơ_hoá,1,2,5,7,1
ylan,1,1,4,4,1
lơ_thơ,1,2,5,7,1
lang_ben,1,2,7,7,1
chamomile,1,1,9,9,1
amica,1,1,5,5,1
hyaluroni,1,1,9,9,1
urea,1,1,4,4,1
chestnut,1,1,8,8,1
proteins,1,1,8,8,1
vảy_nến,1,2,6,9,1
mascare,1,1,7,7,1
neroli,1,1,6,6,1
tăn,1,1,3,4,1
gat,1,1,3,3,1
yahourt,1,1,7,7,1
nha_chu,1,2,6,6,1
amiđan,1,1,6,6,1
mau_son,1,2,6,6,1
xac,1,1,3,3,1
va_son,1,2,5,5,1
đêu,1,1,3,4,1
ăn_ngon_mặc_đẹp,1,4,12,16,1
dầunhận,1,1,7,11,1
thuốctác,1,1,8,11,1
bôi_son,1,2,6,7,1
trơn_nhẫy,1,2,8,11,1
thấm_son,1,2,7,9,1
bậm,1,1,3,5,1
unisex,1,1,6,6,1
cân.thói,1,1,8,10,1
moisturizer,1,1,11,11,1
mối_hàng,1,2,7,10,1
nge,1,1,3,3,1
áp_huyết,1,2,7,10,1
mị.mắt,1,1,6,9,1
cenllulite,1,1,10,10,1
sinh_sắc,1,2,7,9,1
củ_mài,1,2,5,7,1
mướp_đắng,1,2,8,13,1
bìm_bìm,1,2,6,8,1
bio-flavonoids,1,1,14,14,1
cascadeuse,1,1,10,10,1
sa-lát,1,1,6,7,1
sa-lông,1,1,7,8,1
moisturiser,1,1,11,11,1
topten,1,1,6,6,1
tocopherol,1,1,10,10,1
mặtđây,1,1,6,9,1
cổ.với,1,1,6,10,1
cúc_vạn_thọ,1,3,9,12,1
nhau.dầu,1,1,8,10,1
niacin,1,1,6,6,1
bột_kiều,1,2,7,11,1
ăn_bớt,1,2,5,8,1
đầu_tiên_son,1,3,10,13,1
rồi_son,1,2,6,8,1
kiêu_kì,1,2,6,8,1
tặp,1,1,3,5,1
trà_lạnh,1,2,7,9,1
gió_mùa_đông,1,3,10,13,1
pantothenic,1,1,11,11,1
blotin,1,1,6,6,1
lê_tàu,1,2,5,7,1
mà_son,1,2,5,6,1
da.một,1,1,6,8,1
đối_với_son,1,3,9,13,1
peroxid,1,1,7,7,1
bặm,1,1,3,5,1
biết_son,1,2,7,9,1
phần_son,1,2,7,9,1
beta-caronten,1,1,13,13,1
cholesteron,1,1,11,11,1
kết_hợp_son,1,3,9,13,1
ki_bo,1,2,4,4,1
magne,1,1,5,5,1
địa_tầng,1,2,7,10,1
..._son,1,2,6,6,1
cọ_son,1,2,5,6,1
chính_cống,1,2,9,12,1
trắng_bệch,1,2,9,13,1
nuột_nà_hoá,1,3,9,13,1
hồng.spa,1,1,8,10,1
giờđông,1,1,7,10,1
thay_son,1,2,7,7,1
mẩu_son,1,2,6,8,1
tuổi.khi,1,1,8,10,1
ton-sur-ton,1,1,11,11,1
môinền,1,1,6,9,1
mặt.mày,1,1,7,10,1
ngăm_ngăm,1,2,8,10,1
tẩu_tán,1,2,6,9,1
đàn_sáo,1,2,6,8,1
làm_cao,1,2,6,7,1
nòng_nọc,1,2,7,9,1
salicyclic,1,1,10,10,1
chân_cao,1,2,7,8,1
chữ_bát,1,2,6,9,1
vòng_kiềng,1,2,9,12,1
tươi.rèn,1,1,8,11,1
bẹp,1,1,3,4,1
sạch_son,1,2,7,8,1
thanh_đạm,1,2,8,9,1
boóc,1,1,4,5,1
hãng_son,1,2,7,8,1
hổ_mang,1,2,6,8,1
đất.không,1,1,9,12,1
vitaminh,1,1,8,8,1
hydrat-care,1,1,11,11,1
tâyđây,1,1,6,8,1
nớt,1,1,3,5,1
chuanhững,1,1,9,11,1
nhạt.mặt,1,1,8,11,1
lọc.táotừ,1,1,9,13,1
cao.thấm,1,1,8,10,1
da.tỉa,1,1,6,7,1
lên.phủ,1,1,7,9,1
thơm_thảo,1,2,8,10,1
hương_thảo_dược,1,3,13,19,1
emzyme,1,1,6,6,1
ru_rú,1,2,4,5,1
jupe,1,1,4,4,1
quá_bữa,1,2,6,9,1
điểmdùng,1,1,8,11,1
phủ_son,1,2,6,7,1
decan,1,1,5,5,1
vàng_lá,1,2,6,8,1
đẹp.một,1,1,7,10,1
liễm,1,1,4,6,1
bạch_phụ_tử,1,3,9,13,1
tân_mỗi,1,2,6,9,1
trònsai,1,1,7,8,1
ngang.nguyên,1,1,12,13,1
hyđrat,1,1,6,6,1
hơnchương,1,1,9,12,1
dãn_nở,1,2,5,8,1
con_mọn,1,2,6,7,1
tục.thường,1,1,10,14,1
huyềntrước,1,1,10,15,1
trôi.tạo,1,1,8,10,1
mơnguyên,1,1,8,10,1
lênguyên,1,1,8,10,1
lê_chín,1,2,6,8,1
damặt,1,1,5,7,1
chuốinguyên,1,1,11,14,1
chuộtnguyên,1,1,11,14,1
dầu.mặt,1,1,7,11,1
xanhnguyên,1,1,10,11,1
phảm,1,1,4,5,1
thanh_mảnh_hoá,1,3,12,14,1
cầy,1,1,3,5,1
bóng_nhoáng,1,2,10,12,1
điểm.tốt,1,1,8,12,1
eyeline,1,1,7,7,1
son-chì,1,1,7,8,1
hồng-chì,1,1,8,11,1
microfoliant,1,1,12,12,1
uptake,1,1,6,6,1
a-xê-tôn,1,1,8,10,1
caronten,1,1,8,8,1
chuyên_gia_tra,1,3,12,13,1
nhất.bước,1,1,9,14,1
màng.bước,1,1,9,13,1
phơn_phớt,1,2,8,11,1
smoky,1,1,5,5,1
dày_son,1,2,6,7,1
srubs,1,1,5,5,1
mois,1,1,4,4,1
tocotrienols,1,1,12,12,1
enzyme,1,1,6,6,1
shading-tan,1,1,11,11,1
trói_chân,1,2,8,10,1
tân_kéo_theo,1,3,10,12,1
thông_tỏ,1,2,7,9,1
khoắng,1,1,6,8,1
vam,1,1,3,3,1
tiết_hạnh,1,2,8,11,1
ác_thú,1,2,5,7,1
lấm_lét,1,2,6,9,1
bốc_vác,1,2,6,9,1
dân_quê,1,2,6,8,1
nổ_mìn,1,2,5,8,1
ngoằng,1,1,6,8,1
dao_díp,1,2,6,7,1
ky_cóp,1,2,5,6,1
bùi_bằng_bình_thường_ngày,1,5,21,29,1
nhóm_nguyên,1,2,10,12,1
chim_chuột,1,2,9,11,1
câu_lưu,1,2,6,8,1
loằng_ngoằng,1,2,11,15,1
ổ_nhóm,1,2,5,8,1
lõng,1,1,4,5,1
ráo_hoảnh,1,2,8,10,1
máu_dê,1,2,5,7,1
tân_từng,1,2,7,10,1
hậu_thiên,1,2,8,11,1
tuổi_tây,1,2,7,10,1
tuổi_ta,1,2,6,8,1
hát_ví,1,2,5,7,1
sexuality,1,1,9,9,1
đâu_đấy,1,2,6,9,1
candida,1,1,7,7,1
đv,1,1,2,2,1
sporal,1,1,6,6,1
clotrimazole,1,1,12,12,1
đoái_hoài,1,2,8,10,1
gender,1,1,6,6,1
cross-gender,1,1,12,12,1
giễu,1,1,4,6,1
transvestile,1,1,12,12,1
transgender,1,1,11,11,1
transsexual,1,1,11,11,1
thịnh_trị,1,2,8,10,1
cung_phi,1,2,7,7,1
cửu_trùng,1,2,8,11,1
công_hầu,1,2,7,10,1
trà_dư_tửu_hậu,1,4,11,17,1
nhao,1,1,4,4,1
chữa_chạy,1,2,8,11,1
điều_nhiệt,1,2,9,13,1
cấp_cứu_viên,1,3,10,15,1
nhồn_nhột,1,2,8,12,1
vô_trùng,1,2,7,9,1
nhà_trò,1,2,6,8,1
lao_phổi,1,2,7,9,1
aldosterone,1,1,11,11,1
monoamine,1,1,9,9,1
oxydase,1,1,7,7,1
serotonine,1,1,10,10,1
sớm_nắng_chiều_mưa,1,4,15,22,1
quốc_cấm,1,2,7,11,1
phát_dục,1,2,7,9,1
reo_hò,1,2,5,6,1
hạ_mã,1,2,4,6,1
não.nó,1,1,6,8,1
thổi_ngạt,1,2,8,11,1
đe_nẹt,1,2,5,6,1
ducreyi,1,1,7,7,1
vi_phẫu,1,2,6,8,1
arginine,1,1,8,8,1
xạnh,1,1,4,5,1
giáctrên,1,1,8,10,1
thalamus,1,1,8,8,1
nghiệm.tìm,1,1,10,13,1
quátmục,1,1,7,9,1
hằn_thù,1,2,6,9,1
xìu,1,1,3,4,1
nhautrong,1,1,9,9,1
trinh_bạch,1,2,9,10,1
nhằng_nhẵng,1,2,10,14,1
melatonie,1,1,9,9,1
neurone,1,1,7,7,1
myeline,1,1,7,7,1
màng_nhầy,1,2,8,11,1
ve_vuốt,1,2,6,8,1
